zone_phase,zone_index,alive_players,teammates_alive,height_status,position_type,storm_edge_dist,mats_total,surge_above,outcome_placement,outcome_alive_time,best_call
mid,6,4,3,low,center,99,373,0,100,110,look_for_refresh
late,15,3,1,low,edge,25,176,0,57,496,look_for_refresh
mid,8,2,1,high,edge,296,186,1,35,225,take_height
mid,7,1,0,low,corner,293,281,0,85,386,stick_deadside
early,5,4,3,low,corner,400,106,0,5,64,play_frontside
early,3,4,3,high,corner,239,227,1,88,352,take_height
early,4,2,2,mid,center,146,273,0,39,463,stabilize_box
late,14,2,0,high,center,304,272,1,24,320,drop_low
mid,10,4,4,low,center,236,103,0,40,357,drop_low
mid,8,4,2,mid,corner,436,231,0,50,93,stabilize_box
early,3,5,4,low,corner,36,243,0,77,300,play_frontside
late,14,3,2,low,center,341,266,1,58,494,drop_low
late,11,1,0,high,center,126,399,0,1,595,drop_low
early,2,5,3,low,corner,98,240,1,43,389,play_frontside
early,5,3,3,mid,center,116,199,0,39,434,play_frontside
early,1,4,2,mid,corner,230,237,0,10,102,play_frontside
mid,7,4,3,low,edge,232,23,0,2,378,drop_low
mid,10,4,4,high,edge,131,84,0,63,583,take_height
mid,6,3,1,low,corner,391,112,1,16,338,drop_low
mid,7,3,1,mid,corner,363,121,0,37,492,drop_low
mid,10,1,1,high,center,42,297,0,16,60,drop_low
early,1,3,1,mid,corner,100,180,0,87,509,play_frontside
mid,6,1,0,high,center,193,203,1,90,392,drop_low
mid,8,3,3,low,edge,385,50,1,80,119,drop_low
mid,10,2,0,mid,center,267,349,1,27,471,stabilize_box
late,13,3,2,low,edge,407,160,1,63,328,drop_low
early,4,4,2,mid,center,22,154,1,94,21,play_frontside
mid,9,2,2,high,corner,33,101,1,64,97,take_height
mid,10,3,1,low,edge,334,69,0,97,513,drop_low
early,5,3,1,mid,center,43,142,1,32,350,play_frontside
mid,6,3,1,low,center,256,170,0,9,132,drop_low
early,1,4,3,mid,corner,352,158,0,11,546,play_frontside
early,4,3,2,mid,corner,28,57,0,70,599,play_frontside
late,13,3,1,high,edge,39,74,1,30,32,take_height
late,13,3,1,mid,corner,58,144,0,15,259,look_for_refresh
late,13,1,1,low,edge,436,49,0,59,476,drop_low
mid,9,2,0,low,edge,409,78,0,48,33,drop_low
early,4,2,2,low,edge,189,28,0,94,388,drop_low
mid,8,2,1,low,center,379,268,0,82,561,drop_low
mid,8,2,0,low,center,381,390,0,76,456,drop_low
early,4,3,3,high,edge,497,100,0,60,594,take_height
mid,6,2,1,mid,corner,235,130,0,68,144,drop_low
early,5,3,3,mid,center,442,342,1,57,224,play_frontside
late,11,3,2,low,center,404,257,0,64,217,drop_low
mid,6,3,1,high,center,87,399,1,54,156,take_height
mid,6,1,1,mid,center,440,117,1,80,520,drop_low
mid,7,1,0,low,corner,216,116,0,87,36,stick_deadside
mid,7,2,2,mid,center,44,330,0,75,9,stabilize_box
mid,10,2,1,mid,edge,259,179,1,54,40,drop_low
early,2,4,4,low,corner,80,187,0,59,469,play_frontside
late,13,2,2,mid,edge,422,109,1,88,179,drop_low
late,14,2,0,mid,center,373,348,0,86,501,stabilize_box
late,13,1,0,low,edge,319,171,0,39,373,drop_low
late,11,3,1,high,center,479,385,1,15,68,take_height
mid,8,4,3,high,edge,288,114,1,79,424,take_height
late,12,3,1,mid,corner,161,98,0,74,515,drop_low
early,5,3,3,mid,edge,236,57,0,28,364,play_frontside
early,1,2,1,mid,corner,252,111,0,36,451,drop_low
early,1,4,2,mid,edge,19,179,0,54,516,play_frontside
mid,10,1,1,mid,edge,326,83,0,17,329,drop_low
mid,8,4,4,low,corner,401,167,0,100,370,drop_low
mid,7,3,2,mid,corner,57,233,0,86,597,stabilize_box
late,13,2,2,high,edge,121,53,0,87,387,take_height
mid,10,3,1,mid,corner,213,138,1,93,547,drop_low
mid,6,4,4,low,edge,486,61,0,22,114,drop_low
mid,7,3,1,high,corner,391,202,0,75,571,take_height
early,5,3,1,low,corner,166,288,0,36,38,play_frontside
late,15,3,2,low,edge,352,40,0,29,545,drop_low
early,3,3,3,low,center,35,110,0,55,377,play_frontside
late,12,3,2,low,edge,430,89,0,42,399,drop_low
late,15,2,1,high,corner,489,162,0,32,203,take_height
early,2,4,3,mid,center,317,195,0,14,202,play_frontside
early,1,3,1,low,center,175,205,0,18,100,play_frontside
late,15,1,0,high,center,258,242,0,38,398,drop_low
mid,7,4,2,high,center,271,265,1,34,450,take_height
mid,10,3,1,high,center,273,100,1,45,118,take_height
late,15,3,3,low,center,26,145,0,87,421,look_for_refresh
early,1,4,4,mid,corner,85,85,1,32,243,play_frontside
mid,10,2,0,high,edge,455,190,0,67,541,drop_low
early,3,2,0,high,corner,479,99,1,63,227,drop_low
late,13,3,3,low,center,263,241,0,55,501,drop_low
mid,6,2,1,low,corner,215,58,0,43,213,drop_low
mid,9,1,0,mid,center,43,393,0,22,113,stabilize_box
early,4,2,0,high,edge,156,20,0,87,373,drop_low
mid,10,4,3,mid,corner,335,249,0,68,299,stabilize_box
mid,10,2,0,mid,corner,347,116,0,77,19,drop_low
mid,10,4,2,low,corner,237,102,1,96,11,drop_low
mid,6,3,1,mid,center,127,330,1,29,8,stabilize_box
late,13,1,1,high,edge,174,180,0,40,153,drop_low
mid,10,2,1,mid,corner,47,276,0,45,550,stabilize_box
early,3,5,5,high,edge,408,119,1,10,135,take_height
mid,6,1,0,high,corner,367,277,1,77,373,stick_deadside
late,15,2,2,low,center,305,156,0,45,461,drop_low
mid,6,1,1,mid,edge,146,64,0,17,235,drop_low
late,13,3,1,low,corner,318,163,0,2,255,drop_low
mid,10,2,0,high,center,255,185,0,17,586,drop_low
mid,7,2,2,mid,corner,207,192,0,90,328,drop_low
mid,7,4,3,mid,corner,383,68,0,38,362,drop_low
early,3,2,1,high,corner,75,173,0,37,374,take_height
early,1,3,1,mid,corner,89,135,1,63,209,play_frontside
early,5,5,3,high,center,61,340,0,5,267,take_height
mid,10,4,3,mid,center,138,325,0,25,554,stabilize_box
mid,8,4,3,low,center,423,305,0,73,506,drop_low
mid,7,3,2,mid,corner,389,157,1,92,564,drop_low
late,15,3,1,high,corner,377,225,0,22,421,take_height
early,1,3,2,low,center,490,282,0,93,308,play_frontside
mid,7,3,1,high,edge,10,166,1,63,137,take_height
late,14,1,1,high,corner,176,86,0,35,419,stick_deadside
early,1,3,3,low,edge,25,181,0,55,195,play_frontside
early,2,5,5,high,center,154,135,0,20,95,take_height
mid,10,2,1,low,center,121,184,0,5,490,drop_low
early,4,3,1,low,center,377,254,0,39,258,play_frontside
late,14,3,2,low,corner,111,289,0,63,25,drop_low
late,15,2,0,high,corner,91,85,1,32,232,drop_low
mid,9,3,2,mid,center,415,371,1,63,332,stabilize_box
late,12,3,3,low,corner,479,113,0,74,221,drop_low
late,11,1,0,mid,edge,108,29,1,40,297,drop_low
early,1,4,3,mid,center,168,198,0,17,203,play_frontside
late,15,1,0,low,corner,49,169,0,79,343,stick_deadside
mid,8,4,2,high,edge,164,87,0,73,593,take_height
late,14,2,1,high,corner,45,251,1,32,205,take_height
late,12,3,2,mid,center,390,162,1,23,77,drop_low
mid,9,4,2,high,center,256,249,1,75,550,take_height
early,1,4,2,mid,edge,13,36,0,60,42,play_frontside
early,2,4,4,high,edge,383,30,1,77,455,take_height
mid,7,1,0,mid,center,462,252,0,82,182,stabilize_box
late,12,1,1,mid,center,290,116,1,56,195,drop_low
late,11,3,3,low,edge,360,155,0,9,590,drop_low
early,2,3,3,high,corner,343,136,1,69,388,take_height
mid,8,2,0,mid,corner,423,84,1,62,141,drop_low
mid,9,1,1,low,corner,440,178,0,64,27,stick_deadside
early,2,2,0,low,corner,258,206,0,22,315,drop_low
early,5,4,2,mid,center,21,391,0,32,321,play_frontside
mid,6,1,0,mid,center,292,169,0,47,448,drop_low
late,14,2,0,mid,center,438,223,0,2,293,stabilize_box
mid,8,4,2,high,corner,225,240,0,85,236,take_height
mid,10,1,1,low,edge,328,129,0,92,457,drop_low
mid,7,4,2,mid,corner,320,257,0,52,67,stabilize_box
mid,9,3,1,low,center,423,253,0,88,176,drop_low
