zone_phase,zone_index,alive_players,teammates_alive,height_status,position_type,storm_edge_dist,mats_total,surge_above,outcome_placement,outcome_alive_time,best_call
mid,10,2,1,mid,center,391,394,0,80,17,stabilize_box
late,15,1,1,mid,corner,436,68,0,75,490,stick_deadside
mid,10,2,1,high,corner,418,181,1,29,527,take_height
mid,6,1,0,low,center,476,398,0,89,3,drop_low
early,4,4,4,high,center,17,207,0,17,242,take_height
early,3,3,2,low,edge,254,122,1,37,187,play_frontside
early,3,3,1,high,corner,174,189,1,6,235,take_height
late,15,1,0,high,center,483,153,1,46,178,drop_low
mid,10,4,4,low,edge,102,180,0,14,599,drop_low
mid,10,3,2,mid,edge,452,80,1,83,317,drop_low
early,1,2,2,low,edge,293,167,0,37,253,drop_low
late,14,3,1,mid,edge,318,87,0,76,311,drop_low
late,14,2,0,mid,edge,385,48,0,83,192,drop_low
early,1,2,2,mid,corner,208,258,0,85,3,stabilize_box
early,3,2,2,low,center,133,313,0,29,158,drop_low
early,3,2,1,low,corner,64,203,0,92,186,look_for_refresh
mid,7,2,0,low,corner,429,259,0,81,141,drop_low
mid,8,4,4,low,corner,199,71,0,49,51,drop_low
mid,10,2,0,mid,corner,152,119,0,2,425,drop_low
mid,6,4,4,high,corner,319,68,0,70,375,take_height
mid,8,3,2,mid,corner,326,150,0,89,120,drop_low
early,3,4,2,mid,corner,106,211,0,83,370,play_frontside
mid,7,4,3,high,edge,319,162,1,70,417,take_height
mid,9,3,2,mid,corner,206,169,0,65,207,drop_low
mid,9,3,1,high,edge,294,27,0,46,543,take_height
late,15,3,3,mid,corner,90,222,0,63,164,stabilize_box
early,1,3,2,low,edge,118,120,1,98,134,play_frontside
mid,8,3,2,low,edge,292,161,0,85,301,drop_low
mid,10,3,1,mid,center,218,265,0,21,90,stabilize_box
early,2,3,1,low,center,124,140,0,27,72,play_frontside
mid,6,2,0,low,corner,461,53,0,63,359,drop_low
early,2,4,3,mid,edge,250,62,0,23,549,play_frontside
early,4,5,5,mid,edge,405,196,1,100,101,play_frontside
late,11,2,2,mid,edge,391,142,0,100,30,drop_low
late,12,1,0,low,center,288,265,0,96,550,drop_low
late,13,2,1,mid,corner,315,200,0,39,166,stabilize_box
mid,8,1,0,mid,edge,340,177,1,58,392,drop_low
early,3,5,4,high,corner,493,117,0,45,521,take_height
mid,8,2,0,mid,center,213,138,0,81,277,drop_low
mid,7,4,3,high,corner,210,229,1,14,169,take_height
early,5,4,3,high,edge,353,26,0,22,275,take_height
mid,10,1,1,mid,corner,475,154,0,17,249,stick_deadside
early,3,4,2,low,corner,164,255,0,29,512,play_frontside
late,11,3,1,mid,center,324,322,0,38,112,stabilize_box
